Date,Time of day,Coming,Going
18.11.2024,Morning,09:08,09:35
18.11.2024,Noon,12:17,12:29
18.11.2024,Evening,20:17,20:36
19.11.2024,Morning,08:59,09:06
19.11.2024,Noon,12:58,13:00
19.11.2024,Evening,19:02,19:27
20.11.2024,Morning,08:33,08:47
20.11.2024,Noon,12:21,12:43
20.11.2024,Evening,18:21,18:33
21.11.2024,Morning,08:38,09:01
21.11.2024,Noon,11:46,11:51
21.11.2024,Evening,18:03,18:28
22.11.2024,Morning,09:13,09:49
22.11.2024,Noon,12:15,12:21
22.11.2024,Evening,18:00,18:12
23.11.2024,Morning,10:50,11:15
23.11.2024,Noon,13:25,13:40
23.11.2024,Evening,19:23,19:53
24.11.2024,Morning,10:24,11:02
24.11.2024,Noon,12:54,13:12
24.11.2024,Evening,19:20,19:34
25.11.2024,Morning,09:44,10:15
25.11.2024,Noon,12:24,12:33
25.11.2024,Evening,20:03,20:25
26.11.2024,Morning,08:47,09:15
26.11.2024,Noon,12:27,12:30
26.11.2024,Evening,20:30,20:49
27.11.2024,Morning,08:44,09:17
27.11.2024,Noon,12:40,12:50
27.11.2024,Evening,18:53,19:08
28.11.2024,Morning,09:47,10:15
28.11.2024,Noon,12:42,12:49
28.11.2024,Evening,18:22,18:44
29.11.2024,Morning,10:04,10:27
29.11.2024,Noon,12:47,12:57
29.11.2024,Evening,19:35,19:52
30.11.2024,Morning,08:10,08:37
30.11.2024,Noon,12:37,12:49
30.11.2024,Evening,19:24,19:44
01.12.2024,Morning,08:00,08:31
01.12.2024,Noon,12:19,12:22
01.12.2024,Evening,19:03,19:25
02.12.2024,Morning,09:19,09:29
02.12.2024,Noon,13:01,13:08
02.12.2024,Evening,19:41,19:55
03.12.2024,Morning,09:03,09:29
03.12.2024,Noon,12:25,12:31
03.12.2024,Evening,18:07,18:20
04.12.2024,Morning,08:24,09:00
04.12.2024,Noon,12:16,12:24
04.12.2024,Evening,19:30,19:41
05.12.2024,Morning,08:32,08:57
05.12.2024,Noon,11:29,11:37
05.12.2024,Evening,19:49,20:08
06.12.2024,Morning,08:40,09:04
06.12.2024,Noon,12:28,12:37
06.12.2024,Evening,19:34,20:00
07.12.2024,Morning,07:59,08:35
07.12.2024,Noon,11:33,11:38
07.12.2024,Evening,19:33,19:43
08.12.2024,Morning,07:45,08:01
08.12.2024,Noon,10:28,10:40
08.12.2024,Evening,19:22,19:38
